[H[2J[3Jx: 100, y: 0, z:0
x: 70.14038, y: 18.79406, z:-29.885841
x: 72.64674, y: 19.465635, z:-29.544231
x: 75.11481, y: 20.126953, z:-28.977774
x: 77.52579, y: 20.772972, z:-28.190779
x: 79.861336, y: 21.39878, z:-27.189234
x: 82.10369, y: 21.999619, z:-25.980762
x: 84.23577, y: 22.570908, z:-24.574564
x: 86.241356, y: 23.108301, z:-22.981335
x: 88.10518, y: 23.607712, z:-21.213207
x: 89.813065, y: 24.06534, z:-19.283632
x: 91.352005, y: 24.477695, z:-17.207296
x: 92.71029, y: 24.841648, z:-15.000006
x: 93.87759, y: 25.154425, z:-12.678554
x: 94.84501, y: 25.413645, z:-10.260611
x: 95.60518, y: 25.61733, z:-7.7645783
x: 96.15234, y: 25.763945, z:-5.2094536
x: 96.482315, y: 25.852358, z:-2.6146808
x: 96.59258, y: 25.881905, z:0.0000052453665
x: 93.96926, y: 34.20201, z:0
x: 93.861984, y: 34.162968, z:2.6146722
x: 93.540985, y: 34.04613, z:5.2094455
x: 93.00868, y: 33.85239, z:7.764571
x: 92.26915, y: 33.58322, z:10.260604
x: 91.328, y: 33.240673, z:12.678548
x: 90.19241, y: 32.82735, z:15
x: 88.87102, y: 32.346405, z:17.207294
x: 87.37387, y: 31.801487, z:19.283627
x: 85.71237, y: 31.19675, z:21.213203
x: 83.89917, y: 30.536798, z:22.981333
x: 81.948044, y: 29.826649, z:24.574562
x: 79.87387, y: 29.07171, z:25.980762
x: 77.69241, y: 28.277725, z:27.189234
x: 75.420296, y: 27.450743, z:28.190779
x: 73.07479, y: 26.597048, z:28.977774
x: 70.67377, y: 25.723145, z:29.544231
x: 68.23547, y: 24.835682, z:29.885841
x: 65.77848, y: 23.941408, z:30
x: 63.3215, y: 23.047138, z:29.885841
x: 60.88321, y: 22.159676, z:29.544231
x: 58.482174, y: 21.285769, z:28.977774
x: 56.13667, y: 20.432076, z:28.190779
x: 53.864544, y: 19.60509, z:27.189232
x: 51.683094, y: 18.811108, z:25.980762
x: 49.608917, y: 18.056168, z:24.57456
x: 47.6578, y: 17.34602, z:22.981333
x: 45.844593, y: 16.686066, z:21.213203
x: 44.183098, y: 16.081331, z:19.283628
x: 42.685947, y: 15.536414, z:17.207294
x: 41.36455, y: 15.055465, z:15.000002
x: 40.228962, y: 14.642144, z:12.67855
x: 39.287815, y: 14.299594, z:10.260607
x: 38.548283, y: 14.030426, z:7.764574
x: 38.015987, y: 13.836687, z:5.209449
x: 37.694977, y: 13.71985, z:2.6146765
x: 37.587704, y: 13.680805, z:-0.0000026226833
x: 37.694977, y: 13.71985, z:-2.6146743
x: 38.015987, y: 13.836687, z:-5.209447
x: 38.548283, y: 14.030426, z:-7.764572
x: 39.287815, y: 14.299594, z:-10.260605
x: 40.228962, y: 14.642144, z:-12.678548
x: 41.36455, y: 15.055465, z:-14.999999
x: 42.685947, y: 15.536414, z:-17.207293
x: 44.183094, y: 16.08133, z:-19.283627
x: 45.844593, y: 16.686066, z:-21.213202
x: 47.657806, y: 17.346022, z:-22.981337
x: 49.60892, y: 18.05617, z:-24.574564
x: 51.683098, y: 18.811108, z:-25.980762
x: 53.86455, y: 19.605091, z:-27.189234
x: 56.136673, y: 20.432077, z:-28.19078
x: 58.482174, y: 21.28577, z:-28.977776
x: 60.88321, y: 22.159676, z:-29.544233
x: 63.3215, y: 23.047138, z:-29.885841
x: 65.77848, y: 23.941408, z:-30
x: 68.235466, y: 24.835678, z:-29.885841
x: 70.67376, y: 25.723143, z:-29.544231
x: 73.07479, y: 26.597048, z:-28.977774
x: 75.420296, y: 27.450743, z:-28.190779
x: 77.69241, y: 28.277725, z:-27.189234
x: 79.87387, y: 29.07171, z:-25.980762
x: 81.948044, y: 29.826649, z:-24.574564
x: 83.89916, y: 30.536797, z:-22.981335
x: 85.712364, y: 31.196749, z:-21.213207
x: 87.37387, y: 31.801487, z:-19.283632
x: 88.87101, y: 32.3464, z:-17.207296
x: 90.19241, y: 32.82735, z:-15.000006
x: 91.328, y: 33.240673, z:-12.678554
x: 92.26915, y: 33.58322, z:-10.260611
x: 93.008675, y: 33.85239, z:-7.7645783
x: 93.540985, y: 34.04613, z:-5.2094536
x: 93.861984, y: 34.162968, z:-2.6146808
x: 93.96926, y: 34.20201, z:0.0000052453665
x: 90.630775, y: 42.261826, z:0
x: 90.52731, y: 42.21358, z:2.6146722
x: 90.21771, y: 42.069214, z:5.2094455
x: 89.70432, y: 41.829815, z:7.764571
x: 88.991066, y: 41.49722, z:10.260604
x: 88.08335, y: 41.073944, z:12.678548
x: 86.988106, y: 40.56322, z:15
x: 85.71366, y: 39.968937, z:17.207294
x: 84.2697, y: 39.29561, z:19.283627
x: 82.66724, y: 38.548367, z:21.213203
x: 80.91845, y: 37.732895, z:22.981333
x: 79.036644, y: 36.855392, z:24.574562
x: 77.036156, y: 35.922554, z:25.980762
x: 74.932205, y: 34.941463, z:27.189234
x: 72.74081, y: 33.919598, z:28.190779
x: 70.47864, y: 32.86473, z:28.977774
x: 68.16291, y: 31.784887, z:29.544231
x: 65.81125, y: 30.68829, z:29.885841
x: 63.441544, y: 29.583279, z:30
x: 61.071846, y: 28.478271, z:29.885841
x: 58.720184, y: 27.381674, z:29.544231
x: 56.40445, y: 26.301828, z:28.977774
x: 54.142277, y: 25.24696, z:28.190779
